latitude,longitude,hour_of_day,is_weekend,street_lit,commercial_density,recent_incidents_count,target_risk_score
26.1722109,91.7507963,16,1,0,0.73,1,3.05
26.1934532,91.7867429,19,1,0,0.46,0,2.95
26.1855884,91.7659013,22,0,1,0.74,0,4.96
26.1750712,91.772737,19,0,1,0.81,2,0.0
26.1841664,91.759752,20,0,1,0.52,1,0.05
26.1384155,91.6695715,8,0,1,0.8,4,0.78
26.1760641,91.7373419,1,1,1,0.74,3,5.73
26.1248274,91.6861278,2,0,1,0.24,4,5.36
26.1678945,91.7341031,6,0,1,0.89,1,2.5
26.1589743,91.6968963,15,0,0,0.1,3,3.51
26.1881987,91.7741371,0,1,1,0.62,3,5.46
26.1688954,91.7511123,1,0,1,0.81,0,4.11
26.1797415,91.7836147,4,0,1,0.2,5,4.87
26.1742214,91.7582524,20,0,0,0.75,3,3.26
26.1503486,91.6665864,5,0,0,0.57,4,3.98
26.1989056,91.77544,8,0,0,0.71,2,3.71
26.1517977,91.6488773,9,0,1,0.59,4,0.0
26.1794497,91.7410567,17,0,1,0.55,1,0.95
26.1722009,91.7278356,20,0,1,0.89,1,0.08
26.1522119,91.6784944,22,0,0,0.59,4,9.59
26.1787889,91.7534512,7,0,1,0.79,4,2.15
26.1699229,91.7622282,1,0,1,0.21,5,4.71
26.1502741,91.6872617,21,0,1,0.83,4,0.0
26.1868966,91.7822653,8,1,1,0.79,4,0.0
26.1917385,91.7942985,14,0,1,0.34,2,1.5
26.1687997,91.7643333,0,0,1,0.2,2,5.21
26.1988287,91.7972087,23,0,0,0.24,5,8.67
26.1665733,91.7040896,9,0,1,0.48,5,1.77
26.1579466,91.6477722,9,1,0,0.19,0,3.94
26.1308135,91.6939647,8,0,1,0.53,2,0.73
26.1523604,91.6568204,1,0,0,0.26,4,8.74
26.1648772,91.6753724,15,0,0,0.26,0,4.32
26.1958327,91.7938058,21,1,1,0.54,0,0.29
26.1438541,91.6933971,23,0,1,0.19,4,4.6
26.1831746,91.7487948,10,0,0,0.52,0,3.13
26.1975789,91.8008551,21,0,1,0.85,3,0.58
26.1408141,91.6424286,19,0,1,0.33,3,1.47
26.1856631,91.8037699,4,0,0,0.73,3,8.7
26.18863,91.7987785,13,0,1,0.77,1,0.44
26.1359576,91.7051015,5,1,1,0.86,4,1.93
26.1836206,91.7962952,7,0,1,0.73,2,2.24
26.1653105,91.7464373,16,0,1,0.81,1,1.21
26.1885348,91.77273,8,0,1,0.56,2,0.34
26.170919,91.7335328,12,1,1,0.11,5,1.77
26.1865055,91.7977054,9,1,1,0.42,5,1.14
26.1506883,91.6839199,14,0,0,0.77,4,2.36
26.180602,91.7371367,4,0,1,0.21,1,5.45
26.1509104,91.6836001,6,0,0,0.41,5,3.59
26.1669642,91.7071643,16,0,1,0.89,1,0.12
26.1635323,91.6824884,5,0,1,0.81,2,1.44
26.1888941,91.7997203,5,0,1,0.6,2,1.75
26.1838331,91.7915059,10,0,0,0.7,1,2.95
26.1455894,91.7099939,8,0,1,0.13,4,1.92
26.1778283,91.7532951,4,0,1,0.13,5,5.26
26.1887836,91.7548076,16,1,1,0.77,2,0.0
26.1884408,91.7927664,16,1,0,0.75,1,1.87
26.1916693,91.7759873,20,0,0,0.51,1,2.66
26.1496398,91.6679167,4,0,0,0.79,5,8.69
26.1467134,91.7281644,5,0,1,0.36,2,1.68
26.1893624,91.7598851,19,1,1,0.57,0,0.23
26.1948336,91.7895456,19,0,0,0.73,2,3.07
26.1657572,91.6760955,1,0,1,0.61,1,4.53
26.110206,91.683274,12,0,0,0.21,2,3.75
26.1498184,91.6687329,16,0,1,0.58,5,0.7
26.1860711,91.7810168,8,1,1,0.84,0,0.0
26.1923377,91.7601144,20,0,1,0.26,4,2.17
26.1532468,91.7178208,21,0,1,0.6,2,0.0
26.1720008,91.7572197,11,0,1,0.61,0,0.0
26.1815787,91.7720756,6,1,0,0.25,4,4.16
26.1853886,91.7981584,11,0,1,0.46,5,1.11
26.1851672,91.7994086,19,0,1,0.69,2,1.31
26.1664006,91.749777,16,1,1,0.57,1,0.99
26.1836184,91.7930277,7,1,1,0.83,1,2.72
26.1720947,91.7581236,22,1,1,0.53,1,4.31
26.1650527,91.7140321,14,0,1,0.33,3,0.7
26.1884902,91.7615244,12,0,1,0.35,5,0.63
26.1686368,91.7466384,14,1,1,0.48,3,1.15
26.1446511,91.6675253,4,0,0,0.45,4,7.68
26.1943216,91.7625615,2,1,1,0.28,2,5.8
26.1653149,91.7463445,21,0,1,0.88,4,0.09
26.1705868,91.7643491,18,0,1,0.45,5,1.76
26.1641191,91.7523451,14,0,1,0.18,0,1.92
26.1568212,91.6994665,5,0,1,0.81,3,1.87
26.1809632,91.7535935,11,1,1,0.38,3,1.84
26.1854308,91.7931242,18,0,1,0.4,0,0.99
26.1505907,91.701064,16,1,1,0.77,3,1.43
26.1880559,91.7445477,20,0,1,0.42,5,1.12
26.1880648,91.7727526,23,0,1,0.43,2,5.09
26.1690736,91.7374921,0,1,1,0.16,4,5.63
26.1824871,91.7861277,8,0,1,0.54,4,0.75
26.1606571,91.6774751,2,1,0,0.72,3,9.33
26.1801184,91.77194,21,0,1,0.41,2,0.22
26.1504278,91.6916468,1,0,1,0.14,1,4.75
26.1755297,91.734319,1,0,1,0.13,2,5.51
26.1556212,91.729893,7,0,1,0.24,0,1.2
26.1554109,91.6686198,12,0,1,0.34,0,1.97
26.1745773,91.7551728,9,0,1,0.35,1,1.04
26.1738287,91.7531685,14,0,0,0.58,5,2.46
26.1454835,91.6826828,1,1,1,0.37,3,6.04
26.1488635,91.6663056,18,1,1,0.18,0,0.8
26.173425,91.7477733,14,0,1,0.11,5,1.39
26.1548836,91.6602214,17,0,1,0.71,1,1.1
26.1603228,91.7052466,5,0,0,0.77,0,3.92
26.1727405,91.7552901,10,1,0,0.14,5,4.1
26.1343361,91.6704015,20,1,1,0.67,3,0.12
26.1628395,91.6802405,10,0,1,0.66,1,0.48
26.171541,91.7685246,8,0,0,0.31,4,3.72
26.1251549,91.6868359,9,0,1,0.59,0,0.17
26.1635438,91.7380571,1,1,1,0.82,0,5.82
26.1560013,91.6467851,15,1,1,0.2,3,1.6
26.1803267,91.7457819,22,0,1,0.29,4,4.21
26.1931465,91.7805065,18,0,1,0.66,4,0.51
26.1846644,91.7777681,18,0,1,0.78,4,0.19
26.1451777,91.6805987,1,0,1,0.22,0,4.14
26.1398596,91.6404858,20,1,1,0.83,4,0.37
26.1822454,91.7752817,6,0,1,0.17,5,1.93
26.1768645,91.7410267,11,0,0,0.55,1,2.58
26.1829627,91.7691207,17,1,1,0.65,3,0.99
26.1806603,91.7415673,13,0,1,0.21,3,2.09
26.1664006,91.749777,23,0,0,0.83,2,8.27
26.1761345,91.7646739,20,0,1,0.61,2,0.62
26.1852066,91.7600356,10,0,1,0.4,5,0.68
26.1632285,91.6784495,8,1,1,0.74,3,0.93
26.1901904,91.7906847,22,0,1,0.74,5,4.61
26.1239502,91.6930289,21,0,0,0.12,2,3.21
26.1447821,91.6909224,13,1,1,0.41,3,1.23
26.1639342,91.6795553,21,0,1,0.21,4,2.22
26.1359104,91.670522,11,1,1,0.52,2,0.78
26.1407064,91.639161,11,0,1,0.44,3,1.03
26.192975,91.7689632,10,0,1,0.3,2,0.62
26.1800984,91.7784494,4,0,1,0.13,3,4.65
26.1755489,91.74841,20,1,1,0.88,5,0.0
26.1898706,91.7860329,23,0,1,0.71,0,5.88
26.119145,91.6965502,7,0,0,0.11,2,3.79
26.1607631,91.6535404,12,1,1,0.35,4,1.91
26.158306,91.6829434,17,0,1,0.5,0,0.85
26.1836103,91.758608,19,1,0,0.64,0,3.25
26.1836848,91.7867247,11,0,1,0.32,0,0.72
26.1558882,91.7036667,20,0,1,0.31,4,1.39
26.1522497,91.6585826,8,0,1,0.89,0,0.3
26.1414161,91.6615116,22,0,1,0.67,5,3.65
26.1579876,91.6783818,17,0,0,0.45,1,3.12
26.164352,91.7465319,3,0,1,0.34,4,5.93
26.127979,91.7144627,2,1,1,0.56,4,5.46
26.1679699,91.6826008,23,0,1,0.63,0,5.59
26.1830324,91.7513588,12,0,1,0.72,5,1.45
26.1955966,91.8045633,5,0,1,0.56,1,1.85
26.1716162,91.765519,10,1,1,0.73,5,0.69
26.1881048,91.7576422,11,0,1,0.36,2,1.36
26.1814099,91.7557795,22,0,1,0.54,3,5.03
26.1892102,91.7737039,18,1,0,0.77,0,2.37
26.1144879,91.699807,6,1,0,0.62,5,3.85
26.1447821,91.6909224,16,1,0,0.33,1,3.05
26.1901754,91.7498351,22,0,0,0.17,2,9.19
26.1691217,91.7516595,9,0,1,0.36,1,1.69
26.1408842,91.700499,13,0,1,0.31,5,2.54
26.1436476,91.6805595,3,1,1,0.61,2,6.01
26.1879094,91.7544972,11,0,0,0.76,3,2.45
26.1878185,91.7966325,12,0,1,0.21,5,2.25
26.1621332,91.6877077,18,1,1,0.59,5,0.42
26.1846312,91.746783,22,1,0,0.25,1,8.16
26.1195355,91.6966861,4,0,0,0.79,4,8.85
26.1840436,91.756663,16,0,0,0.64,5,2.31
26.1836792,91.7763059,0,0,1,0.18,3,5.19
26.1665299,91.688247,3,0,1,0.24,2,4.22
26.1302034,91.7171294,0,1,1,0.27,2,4.99
26.193932,91.7618577,19,0,1,0.4,4,1.52
26.1767533,91.7718434,4,0,0,0.25,1,8.69
26.1613206,91.6927407,13,1,1,0.12,1,2.49
26.1586848,91.7001749,12,0,1,0.56,5,0.16
26.1748935,91.7604628,2,1,1,0.8,0,5.93
26.1720008,91.7572197,21,0,1,0.25,3,1.95
26.1576288,91.7078429,14,1,0,0.68,0,2.73
26.1805365,91.7675534,22,0,0,0.35,1,8.7
26.1507893,91.6940662,14,1,1,0.11,2,2.1
26.1511679,91.6882388,11,0,0,0.44,3,3.48
26.1748998,91.7716315,14,0,1,0.42,5,0.83
26.1861637,91.7994408,12,0,0,0.31,1,3.54
26.1755613,91.7714936,13,0,1,0.62,4,1.66
26.151162,91.6688127,17,0,1,0.72,3,0.0
26.1893791,91.7546821,13,0,1,0.33,0,1.5
26.1477623,91.6813809,4,0,0,0.17,0,7.9
26.1842418,91.795844,15,0,0,0.87,4,2.4
26.1934483,91.8024351,15,0,1,0.75,2,0.0
26.126875,91.6857738,9,0,1,0.34,0,0.83
26.1629635,91.6864599,22,0,0,0.49,2,8.74
26.192837,91.7586324,5,0,1,0.63,3,1.56
26.2060475,91.800282,10,0,1,0.69,1,0.53
26.1889701,91.773602,4,0,1,0.47,3,4.36
26.1849796,91.7632222,3,0,0,0.29,0,9.05
26.1583806,91.6589046,23,1,1,0.25,4,5.14
26.1603338,91.6929675,22,0,1,0.26,0,4.63
26.1630149,91.6821098,12,0,1,0.43,5,0.82
26.1765228,91.7511923,6,0,0,0.74,3,3.63
26.1336042,91.6739559,9,1,1,0.53,4,1.25
26.1822408,91.7756042,13,1,0,0.33,2,3.77
26.1672916,91.728673,11,0,0,0.85,5,3.06
26.1654458,91.7027283,4,0,0,0.13,1,9.07
26.1834978,91.7749308,18,0,1,0.73,5,0.61
26.1401054,91.6761556,23,1,1,0.59,2,6.51
26.1546831,91.6855956,16,0,1,0.51,4,0.0
26.130666,91.7209643,11,0,0,0.26,3,3.25
26.1723296,91.7413232,20,0,1,0.75,5,0.0
26.1679671,91.6809395,5,0,1,0.4,1,2.02
26.151978,91.6811054,19,0,1,0.26,1,1.11
26.184616,91.7747218,2,0,1,0.58,0,5.65
26.1636992,91.6498921,1,0,1,0.72,5,5.07
26.1589241,91.7028996,22,0,0,0.76,3,7.61
26.1554734,91.6549402,14,0,1,0.75,4,0.91
26.1875999,91.7741781,11,1,0,0.83,4,3.0
26.1405119,91.6433459,20,0,1,0.65,5,1.34
26.1648185,91.6789337,14,0,1,0.84,0,0.0
26.1732783,91.765394,23,0,1,0.67,4,5.45
26.1700516,91.7549587,15,0,1,0.43,2,2.03
26.1489999,91.6811781,2,0,1,0.59,2,4.55
26.1854443,91.7530548,23,0,1,0.59,1,4.49
26.1757922,91.7382724,23,0,1,0.49,5,4.21
26.1839588,91.7430936,4,1,0,0.33,5,8.62
26.19576,91.7961194,3,0,1,0.64,4,5.03
26.1674246,91.7648315,1,1,0,0.11,2,9.25
26.1529625,91.7319893,16,0,0,0.69,2,2.51
26.1561749,91.7302042,6,0,0,0.13,0,4.05
26.1858719,91.7464694,3,1,0,0.21,4,9.51
26.1983408,91.7747321,0,0,0,0.5,2,8.04
26.1367507,91.6508065,21,0,1,0.13,5,1.02
26.1444176,91.6822658,18,0,1,0.78,5,0.26
26.1594626,91.7042066,11,1,1,0.18,1,1.19
26.1361017,91.6970325,23,0,0,0.72,1,8.34
26.1899405,91.7826787,4,0,1,0.39,3,4.76
26.1955147,91.8008135,7,0,1,0.2,1,3.27
26.149691,91.6707451,18,1,1,0.57,0,0.99
26.1972322,91.7909121,14,0,1,0.27,0,1.59
26.1653276,91.7173595,21,1,1,0.52,2,1.64
26.1464219,91.669298,3,0,1,0.31,1,5.37
26.1545037,91.7321998,19,0,1,0.56,2,1.87
26.1907559,91.760047,15,1,1,0.49,1,0.76
26.1712769,91.7661134,14,0,1,0.37,3,0.51
26.1965448,91.8128084,2,0,1,0.35,3,4.69
26.1649655,91.7288168,16,0,1,0.3,3,1.19
26.1245387,91.6830898,14,1,1,0.68,2,1.0
26.1276556,91.6865784,18,1,0,0.12,3,3.99
26.1590254,91.6754983,0,0,1,0.55,5,4.87
26.1770168,91.7639825,4,0,1,0.24,0,4.99
26.1679315,91.7420625,19,1,0,0.22,5,3.59
26.1883402,91.7769607,21,1,1,0.77,2,0.48
26.1660004,91.6752971,15,0,0,0.56,3,2.73
26.1637879,91.6783895,8,0,1,0.15,3,1.82
26.1590339,91.7096907,12,0,0,0.69,1,2.3
26.1286101,91.6852278,3,0,1,0.62,5,4.6
26.1408711,91.6453962,23,0,0,0.2,5,9.07
26.1816364,91.7663097,22,1,1,0.23,5,5.29
26.1872425,91.7702287,11,1,1,0.16,4,1.42
26.16072,91.7115256,20,1,0,0.86,1,2.11
26.1697508,91.6898131,19,0,1,0.15,2,0.91
26.1376145,91.6694907,4,0,0,0.19,2,8.78
26.1373944,91.6718531,23,0,1,0.73,2,4.4
26.171982,91.7713747,15,0,0,0.44,0,2.35
26.1581096,91.6802458,15,0,1,0.33,3,1.77
26.1639342,91.6795553,9,0,1,0.59,2,0.91
26.1855547,91.7605248,12,0,0,0.85,5,2.2
26.1799491,91.766181,7,0,1,0.24,1,1.85
26.148546,91.6438014,23,1,1,0.71,4,6.44
26.1673478,91.7302257,4,0,1,0.44,1,4.98
26.1871554,91.8009375,3,0,0,0.81,5,8.63
26.1871229,91.7848295,2,0,1,0.11,3,5.14
26.192848,91.7787256,3,0,1,0.81,0,5.16
26.1174365,91.7082895,3,0,1,0.64,1,3.89
26.175895,91.7519909,7,0,0,0.11,3,4.09
26.1565275,91.7304194,21,1,0,0.61,2,2.75
26.138839,91.6609473,12,0,1,0.58,4,1.65
26.1579356,91.7037219,4,0,0,0.85,5,7.69
26.1441458,91.7063626,20,0,1,0.49,1,0.57
26.1461099,91.7103171,22,0,1,0.44,0,5.19
26.170919,91.7335328,2,1,0,0.44,3,9.41
26.203242,91.8042267,10,0,1,0.21,3,1.63
26.1584615,91.6730685,18,0,1,0.27,3,1.98
26.1677231,91.6847419,21,1,0,0.8,5,1.54
26.1823003,91.8002192,18,1,1,0.72,4,0.0
26.1360606,91.6683499,15,0,1,0.29,4,0.76
26.1407967,91.6435284,13,0,1,0.61,1,1.05
26.1402096,91.6951405,11,0,1,0.87,3,0.15
26.1679344,91.6734456,1,1,0,0.31,4,8.43
26.1370818,91.6411251,0,1,1,0.65,0,5.28
26.1620866,91.6774243,22,1,1,0.13,3,6.14
26.1584262,91.683186,16,0,0,0.86,1,2.93
26.1855547,91.7605248,13,0,0,0.82,5,1.76
26.1633708,91.7398735,10,0,1,0.23,3,1.03
26.1649619,91.6707292,2,0,0,0.63,2,8.65
26.1553161,91.7338721,20,0,1,0.8,1,0.2
26.167981,91.7612426,22,0,0,0.39,1,9.2
26.1391009,91.7035985,10,0,0,0.26,0,3.73
26.1660829,91.6707547,3,0,1,0.79,4,6.09
26.1812492,91.7743663,10,0,1,0.14,2,1.92
26.190975,91.8083508,19,0,1,0.65,0,1.14
26.1610131,91.7024943,3,0,0,0.17,3,8.31
26.1523863,91.6852338,12,0,0,0.85,5,2.34
26.1684641,91.7233755,7,1,1,0.79,1,2.01
26.1761218,91.7598342,17,0,0,0.34,4,3.78
26.1104276,91.6837889,7,0,0,0.62,5,4.34
26.1439452,91.6824262,5,0,0,0.44,2,3.87
26.1473676,91.6733457,16,0,0,0.21,0,3.8
26.1577608,91.6714165,21,0,1,0.85,1,0.0
26.1478097,91.6886308,3,1,0,0.18,5,9.87
26.1704436,91.689296,21,0,1,0.81,5,0.49
26.1378957,91.6402614,14,0,1,0.64,2,0.6
26.1307998,91.7178973,6,0,0,0.77,3,4.76
26.1543736,91.7309395,7,0,1,0.52,0,2.32
26.1316508,91.6752848,0,0,1,0.89,0,5.29
26.1587523,91.7056605,8,1,1,0.86,3,0.0
26.1617175,91.7352823,14,0,0,0.62,3,2.65
26.1561695,91.7347238,23,0,1,0.14,0,5.13
26.1856823,91.7744581,23,1,1,0.1,5,5.66
26.1821042,91.7720687,11,1,0,0.6,1,2.88
26.1750555,91.7649225,10,1,0,0.55,0,3.4
26.1958402,91.7840661,11,0,0,0.17,2,3.46
26.1747856,91.757546,22,0,1,0.55,5,5.35
26.1461099,91.7103171,8,1,0,0.41,2,2.31
26.1760354,91.7358437,17,1,0,0.53,3,2.5
26.1708297,91.6912169,21,0,1,0.62,1,0.6
26.1768012,91.754728,5,0,0,0.2,2,4.03
26.1748926,91.7391256,18,1,1,0.2,1,1.45
26.1498184,91.6687329,22,0,1,0.6,0,5.16
26.1582416,91.6820102,11,0,1,0.21,4,2.13
26.1505684,91.6984778,17,0,1,0.26,3,1.21
26.1485469,91.6651397,3,0,0,0.5,2,9.08
26.180729,91.7431569,18,0,0,0.13,3,3.98
26.1148631,91.69559,19,0,0,0.77,3,1.67
26.1834486,91.7940916,18,0,1,0.61,2,0.73
26.1488941,91.6794155,7,0,0,0.31,3,3.45
26.1752272,91.7704594,10,0,1,0.69,3,1.33
26.1558348,91.6755741,17,1,0,0.48,3,3.03
26.188023,91.7809296,10,0,1,0.65,0,2.22
26.1673915,91.683444,20,1,0,0.79,3,2.67
26.1636992,91.6498921,7,0,1,0.44,0,1.42
26.1876324,91.7654803,2,1,1,0.16,1,5.83
26.1727027,91.7636993,3,0,1,0.46,4,5.6
26.1871847,91.7448442,19,0,1,0.19,0,1.65
26.1844186,91.7757492,16,0,1,0.62,2,0.42
26.1463387,91.728099,1,1,1,0.2,4,6.03
26.1506131,91.6506958,18,0,0,0.79,3,2.37
26.1532949,91.7313147,2,0,1,0.73,0,5.98
26.156786,91.6578267,17,0,1,0.88,0,0.42
26.1757441,91.739984,13,1,0,0.3,4,3.93
26.1669978,91.6836343,2,1,1,0.81,2,5.29
26.1733967,91.7625972,11,0,0,0.59,1,3.15
26.1542433,91.7212109,6,0,1,0.77,0,1.59
26.1565165,91.7073948,5,0,1,0.49,4,2.55
26.1261268,91.7179076,23,0,1,0.35,5,5.42
26.1576017,91.6622572,17,1,1,0.22,2,0.86
26.1735036,91.7508748,18,1,1,0.74,3,0.1
26.1798143,91.7676374,15,0,1,0.39,4,1.33
26.1617131,91.6881602,14,0,1,0.6,2,1.55
26.1716739,91.7561202,7,0,1,0.48,3,2.31
26.1422956,91.7263438,22,1,1,0.82,3,5.15
26.110206,91.683274,17,0,0,0.87,0,2.19
26.1792322,91.7859793,11,1,1,0.28,3,2.0
26.1921599,91.7558644,11,0,1,0.46,0,0.78
26.1263706,91.718427,19,0,1,0.66,0,0.52
26.1743894,91.7691018,23,0,1,0.23,4,5.01
26.1834939,91.7815043,14,0,1,0.71,5,0.0
26.1169949,91.6761721,16,1,1,0.22,3,1.62
26.1614485,91.6837421,12,1,1,0.28,0,1.28
26.144479,91.7009238,16,1,1,0.23,0,1.74
26.1470422,91.7281921,4,0,1,0.23,0,5.2
26.1766429,91.7647457,9,0,1,0.35,2,0.83
26.1699229,91.7622282,2,1,0,0.45,0,9.61
26.1401864,91.7139799,20,0,1,0.46,3,2.42
26.1823464,91.7605619,18,0,1,0.43,4,1.32
26.1757335,91.7701435,16,0,1,0.48,0,1.87
26.1847648,91.7930764,7,0,0,0.68,1,3.58
26.1646005,91.7430335,7,1,1,0.81,2,2.06
26.177783,91.7718383,16,0,1,0.35,1,1.32
26.1848904,91.7887332,23,0,1,0.38,2,5.08
26.1891242,91.7847705,13,0,0,0.37,4,2.8
26.1896014,91.8006218,12,1,0,0.51,3,3.81
26.183242,91.7406012,20,1,1,0.36,0,1.08
26.1740131,91.7394167,20,1,1,0.59,2,0.2
26.1723604,91.7650237,20,0,1,0.54,4,0.2
26.1884902,91.7615244,14,0,1,0.19,0,1.34
26.156905,91.6680119,8,1,1,0.13,2,1.55
26.1428164,91.6949053,16,0,0,0.42,2,4.18
26.1420416,91.6424949,15,0,1,0.33,4,1.51
26.1850343,91.7678371,7,1,1,0.29,2,3.15
26.1863611,91.7886275,3,0,1,0.78,1,4.15
26.1285413,91.7168318,13,0,0,0.68,0,2.6
26.125887,91.6812446,22,0,1,0.89,2,5.51
26.1739303,91.7573312,15,0,1,0.33,4,1.83
26.1308135,91.6939647,1,0,1,0.42,3,5.38
26.1567176,91.7008175,19,0,1,0.16,1,1.98
26.2043064,91.7997993,17,1,1,0.54,1,1.8
26.1581244,91.690551,15,0,0,0.24,3,5.1
26.1400654,91.6379743,15,0,0,0.62,3,2.62
26.1840435,91.7469143,7,1,1,0.5,0,2.18
26.1756068,91.7399875,6,0,1,0.71,1,1.71
26.1569858,91.6887456,14,0,0,0.15,4,4.33
26.1514294,91.6779634,18,0,1,0.56,0,1.26
26.1488507,91.7029767,20,0,1,0.31,4,0.05
26.1710812,91.7392196,13,1,1,0.78,0,0.18
26.1635244,91.6745606,10,0,1,0.38,5,1.5
26.1303075,91.6733651,22,0,1,0.54,1,5.62
26.1525169,91.6665058,21,0,1,0.53,5,1.54
26.1502828,91.6896312,8,0,0,0.76,0,3.13
26.196291,91.7732897,17,0,0,0.6,0,2.18
26.1860711,91.7810168,8,0,0,0.72,2,3.16
26.1150028,91.6948613,5,0,1,0.29,2,1.67
26.1412594,91.6647345,12,1,1,0.25,5,2.33
26.1506883,91.6839199,8,1,1,0.68,2,1.0
26.173516,91.7506512,6,0,0,0.3,4,3.9
26.1499775,91.6920129,6,0,1,0.24,4,1.78
26.1682748,91.7365827,5,1,1,0.66,0,2.01
26.1418155,91.6591721,15,0,0,0.58,2,3.78
26.165494,91.7277902,10,0,0,0.88,1,2.61
26.1734212,91.739841,13,0,1,0.7,1,1.21
26.1898706,91.7860329,6,0,1,0.27,3,1.52
26.1780802,91.7529065,23,1,1,0.66,3,4.82
26.1287324,91.7205172,22,1,0,0.5,3,8.49
26.1260826,91.6758779,18,0,0,0.86,3,2.94
26.1608145,91.7192664,20,0,1,0.56,1,0.61
26.1222403,91.6825108,15,1,1,0.23,1,2.43
26.1513501,91.6740146,11,0,1,0.66,4,1.06
26.1793957,91.7718603,15,0,1,0.22,0,1.93
26.1611826,91.7389407,21,0,0,0.38,3,2.73
26.1644708,91.7492187,1,0,1,0.69,5,4.47
26.1794345,91.7702717,2,0,0,0.83,5,8.63
26.1464219,91.669298,2,0,0,0.6,2,8.7
26.1386385,91.6531883,7,0,1,0.5,3,1.66
26.1502038,91.6808693,14,0,1,0.26,1,1.51
26.192848,91.7787256,12,0,1,0.22,0,2.43
26.1878895,91.7984457,23,0,1,0.41,5,5.91
26.165387,91.684073,21,0,1,0.2,3,2.14
26.1590339,91.7096907,16,0,0,0.83,0,2.76
26.1506392,91.692739,12,1,1,0.55,2,1.32
26.1474968,91.6454172,13,0,1,0.19,4,1.71
26.1581096,91.6802458,17,0,1,0.43,2,1.25
26.1644428,91.6924185,5,1,0,0.11,1,3.43
26.1821042,91.7720687,0,0,0,0.32,0,8.06
26.188864,91.7837336,15,1,1,0.74,2,0.26
26.1159638,91.7101829,9,0,1,0.21,5,1.63
26.1683968,91.7499198,3,1,1,0.22,4,5.84
26.1857017,91.7717921,11,1,1,0.68,1,0.19
26.1872095,91.7820614,17,0,1,0.36,2,1.59
26.205791,91.803249,1,0,1,0.64,4,4.66
26.1713181,91.752961,18,0,0,0.47,3,2.8
26.1704028,91.6832237,11,1,1,0.65,4,0.22
26.1837903,91.7782767,15,0,1,0.57,4,0.2
26.1973059,91.7722269,6,1,1,0.55,2,2.05
26.1413366,91.6563113,5,0,0,0.49,4,4.64
26.185384,91.7649595,23,1,0,0.84,2,9.66
26.1798143,91.7676374,16,0,1,0.64,5,1.6
26.1596399,91.682327,14,0,1,0.89,5,0.21
26.1624658,91.6806936,7,0,1,0.39,3,2.58
26.1723022,91.7480295,11,0,1,0.6,3,0.0
26.1649469,91.7596418,12,0,1,0.71,3,0.48
26.144479,91.7009238,6,0,1,0.25,4,1.47
26.1493905,91.6793736,8,0,0,0.39,1,2.84
26.140452,91.7200018,13,1,0,0.81,0,2.84
